Volcano Name,Max. VEI,Country,Volcanic_Region,Volcano_type,Summit,Year,Latitude_value,Longitude_value,Number Of Eruptions,Number Of Eruptions per Country
1,1,1,1,1,0.6499680043879696,39,-7.54,110.446,77,1259
2,4,2,2,1,0.4954749062985648,39,13.33,-61.18,7,7
3,3,3,3,1,0.54346832434409,39,12.702,-87.004,32,193
4,1,1,1,1,0.5968552884175884,39,-7.942,112.95,64,1259
5,0,4,4,2,0.49565773836730964,39,19.421,-155.287,90,728
6,0,5,5,2,0.6245543468324344,39,-21.244,55.708,179,233
7,2,1,1,1,0.5147636895511473,39,-8.274,123.508,9,1259
8,1,6,6,3,0.44830423256239144,39,30.793,130.305,16,1126
9,0,7,7,4,0.3821190236767529,39,-8.991,157.979,32,56
10,1,6,6,1,0.4440076789468873,39,30.443,130.217,17,1126
11,3,1,1,1,0.6088307889203767,39,3.17,98.392,3,1259
12,1,3,3,1,0.4786543559740378,39,12.606,-86.84,43,193
13,1,1,1,1,0.6819636164183198,39,-8.119,114.056,63,1259
14,1,8,3,1,0.6892768991681141,39,10.025,-83.767,11,141
15,2,9,8,1,0.6538988938659841,39,-37.856,-71.183,13,47
16,3,4,9,1,0.5420970838285035,39,52.825,-169.944,17,728
8,1,6,6,3,0.44830423256239144,39,30.793,130.305,16,1126
17,3,10,10,1,0.5222598043696864,39,54.049,159.443,43,713
18,2,1,1,1,0.547124965718987,39,1.112,124.737,40,1259
9,0,7,7,4,0.3821190236767529,39,-8.991,157.979,32,56
19,1,10,11,1,0.5207057317853552,39,48.092,153.2,18,713
20,1,11,3,1,0.578663497577475,39,13.434,-88.269,38,107
6,0,5,5,2,0.6245543468324344,39,-21.244,55.708,179,233
21,2,8,3,5,0.5591004662217753,39,10.83,-85.324,27,141
22,0,12,8,2,0.5188774110979065,39,-0.37,-91.55,30,257
23,4,13,12,3,0.41237773105402686,39,14.002,120.993,34,183
10,3,6,6,1,0.4440076789468873,39,30.443,130.217,17,1126
24,2,14,13,1,0.4108236584696956,39,-37.52,177.18,35,272
25,1,4,9,1,0.4955663223329372,39,51.93,179.58,3,726
26,1,6,6,3,0.3862327452235122,39,27.247,140.874,4,1122
8,2,6,6,3,0.44830423256239144,39,30.793,130.305,14,1122
27,1,15,13,4,0.3878782338422159,39,-19.18,-174.87,9,62
28,2,6,6,5,0.6187037206325989,39,36.406,138.523,120,1122
15,2,9,8,1,0.6538988938659841,39,-37.856,-71.183,12,46
29,1,1,1,1,0.5744583599963433,39,-6.77,107.6,17,1253
30,3,4,9,1,0.6451229545662309,39,54.756,-163.97,32,726
25,1,4,9,1,0.4955663223329372,39,51.93,179.58,3,726
31,4,16,7,1,0.5973123685894506,39,-5.05,151.33,41,222
32,2,17,8,1,0.9024590913246183,39,-16.355,-70.903,20,38
33,3,10,11,1,0.4343175793034098,39,48.292,153.25,3,711
6,0,5,5,2,0.6245543468324344,39,-21.244,55.708,177,231
34,1,4,9,1,0.5430112441722278,39,52.076,-176.13,5,726
19,2,10,11,1,0.5207057317853552,39,48.092,153.2,17,711
35,1,18,3,1,0.7358990766980529,39,19.514,-103.62,53,141
36,2,6,6,3,0.5294816710851084,39,32.884,131.104,164,1122
37,2,10,10,1,0.8185391717707285,39,56.056,160.642,103,711
38,2,12,8,1,0.8671725020568608,39,-2.005,-78.341,10,256
3,1,3,3,1,0.54346832434409,39,12.702,-87.004,31,191
6,0,5,5,2,0.6245543468324344,39,-21.244,55.708,177,231
4,2,1,1,1,0.5968552884175884,39,-7.942,112.95,63,1253
17,2,10,10,1,0.5222598043696864,39,54.049,159.443,42,711
39,2,8,3,1,0.6304963890666423,39,10.2,-84.233,50,139
11,4,1,1,1,0.6088307889203767,39,3.17,98.392,2,1253
40,2,7,7,1,0.4567145077246549,39,-10.386,165.804,21,54
41,2,1,1,1,0.5482219581314562,39,2.781,125.407,55,1250
42,1,19,8,1,0.7475089130633513,39,-35.223,-70.568,19,416
10,3,6,6,1,0.4440076789468873,39,30.443,130.217,15,1118
43,1,1,1,1,0.5407258433129171,39,0.8,127.33,65,1250
18,3,1,1,1,0.547124965718987,39,1.112,124.737,39,1250
