Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Ambae,Confirmed Eruption,2021 Dec 5,--,Vanuatu,Melanesia and Australia,Shield,15.389°S,167.835°E,1496
Pinatubo,Confirmed Eruption,2021 Nov 30,--,Philippines,Philippines and SE Asia,Stratovolcano,15.13°N,120.35°E,1486
Iliwerung,Confirmed Eruption,2021 Nov 28,--,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583
Taal,Confirmed Eruption,2021 Nov 15,--,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Turrialba,Confirmed Eruption,2021 Nov 3,--,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340
Asosan,Confirmed Eruption,2021 Oct 14,--,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592
Kavachi,Confirmed Eruption,2021 Oct 2,--,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Kilauea,Confirmed Eruption,2021 Sep 29,--,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222
La Palma,Confirmed Eruption,2021 Sep 19,--,Spain,Atlantic Ocean,Stratovolcano(es),28.57°N,17.83°W,2426
Nishinoshima,Confirmed Eruption,2021 Aug 14,--,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25
Fukutoku-Oka-no-Ba,Confirmed Eruption,2021 Aug 13,--,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29
Chirinkotan,Confirmed Eruption,2021 Aug 8,--,Russia,Kuril Islands,Stratovolcano,48.98°N,153.48°E,724
Pavlof,Confirmed Eruption,2021 Aug 5,--,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493
Pagan,Confirmed Eruption,2021 Jul 29,--,United States,"Japan, Taiwan, Marianas",Stratovolcano(es),18.13°N,145.8°E,570
Sirung,Confirmed Eruption,2021 Jul 21,--,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862
Ulawun,Confirmed Eruption,2021 Jul 9,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Copahue,Confirmed Eruption,2021 Jul 2,--,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Taal,Confirmed Eruption,2021 Jul 1,--,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Rincon de la Vieja,Confirmed Eruption,2021 Jun 28,--,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Turrialba,Confirmed Eruption,2021 Jun 13,--,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340
Krakatau,Confirmed Eruption,2021 May 25,--,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155
Great Sitkin,Confirmed Eruption,2021 May 25,--,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740
Dieng Volcanic Complex,Confirmed Eruption,2021 Apr 29,--,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565
Telica,Confirmed Eruption,2021 Apr 21,--,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Tengger Caldera,Confirmed Eruption,2021 Apr 15,--,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
"Fournaise, Piton de la",Confirmed Eruption,2021 Apr 9,--,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Krysuvik-Trolladyngja,Confirmed Eruption,2021 Mar 19,--,Iceland,Iceland and Arctic Ocean,Crater rows,63.917°N,22.067°W,360
Veniaminof,Confirmed Eruption,2021 Feb 28,--,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507
Semisopochnoi,Confirmed Eruption,2021 Feb 2,--,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Raung,Confirmed Eruption,2021 Jan 21,--,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Merapi,Confirmed Eruption,2020 Dec 31,1,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Soufriere St. Vincent,Confirmed Eruption,2020 Dec 27,4,Saint Vincent and the Grenadines,West Indies,Stratovolcano,13.33°N,61.18°W,1220
San Cristobal,Confirmed Eruption,2020 Dec 27,3,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Tengger Caldera,Confirmed Eruption,2020 Dec 26,1,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Kilauea,Confirmed Eruption,2020 Dec 20,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222
"Fournaise, Piton de la",Confirmed Eruption,2020 Dec 7,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Lewotolok,Confirmed Eruption,2020 Nov 27,2,Indonesia,Indonesia,Stratovolcano,8.274°S,123.508°E,1431
Kikai,Confirmed Eruption,2020 Oct 6,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Kavachi,Confirmed Eruption,2020 Sep 2,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Kuchinoerabujima,Confirmed Eruption,2020 Aug 29,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),30.443°N,130.217°E,657
Sinabung,Confirmed Eruption,2020 Aug 8,3,Indonesia,Indonesia,Stratovolcano,3.17°N,98.392°E,2460
Telica,Confirmed Eruption,2020 Jul 20,1,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Raung,Confirmed Eruption,2020 Jul 16,1,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Turrialba,Confirmed Eruption,2020 Jun 18,1,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340
Copahue,Confirmed Eruption,2020 Jun 16,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Cleveland,Confirmed Eruption,2020 Jun 1,3,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730
Kikai,Confirmed Eruption,2020 Apr 29,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Karymsky,Confirmed Eruption,2020 Apr 1,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513
Soputan,Confirmed Eruption,2020 Mar 23,2,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785
Kavachi,Confirmed Eruption,2020 Mar 16,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Sarychev Peak,Confirmed Eruption,2020 Feb 29,1,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496
San Miguel,Confirmed Eruption,2020 Feb 22,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
"Fournaise, Piton de la",Confirmed Eruption,2020 Feb 10,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Rincon de la Vieja,Confirmed Eruption,2020 Jan 30,2,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Fernandina,Confirmed Eruption,2020 Jan 12,0,Ecuador,South America,Shield,0.37°S,91.55°W,1476
Taal,Confirmed Eruption,2020 Jan 12,4,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Kuchinoerabujima,Confirmed Eruption,2020 Jan 11,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),30.443°N,130.217°E,657
Whakaari/White Island,Confirmed Eruption,2019 Dec 9,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Semisopochnoi,Confirmed Eruption,2019 Dec 7,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Nishinoshima,Confirmed Eruption,2019 Dec 5,1,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25
Cleveland,Uncertain Eruption,2019 Nov 7,--,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730
Kikai,Confirmed Eruption,2019 Nov 2,2,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Lateiki,Confirmed Eruption,2019 Oct 13,1,Tonga,New Zealand to Fiji,Submarine,19.18°S,174.87°W,43
Asamayama,Confirmed Eruption,2019 Aug 7,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568
Copahue,Confirmed Eruption,2019 Aug 2,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Tangkuban Parahu,Confirmed Eruption,2019 Jul 26,1,Indonesia,Indonesia,Stratovolcano,6.77°S,107.6°E,2084
Shishaldin,Confirmed Eruption,2019 Jul 23,3,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857
Semisopochnoi,Confirmed Eruption,2019 Jul 16,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Ulawun,Confirmed Eruption,2019 Jun 26,4,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Ubinas,Confirmed Eruption,2019 Jun 24,2,Peru,South America,Stratovolcano,16.355°S,70.903°W,5672
Raikoke,Confirmed Eruption,2019 Jun 22,3,Russia,Kuril Islands,Stratovolcano,48.292°N,153.25°E,551
"Fournaise, Piton de la",Confirmed Eruption,2019 Jun 11,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Great Sitkin,Confirmed Eruption,2019 Jun 1,1,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740
Sarychev Peak,Confirmed Eruption,2019 May 16,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496
