Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Summit,Year,Latitude_value,Longitude_value
Ambae,Confirmed Eruption,0,Vanuatu,Melanesia and Australia,13,1496,2021,-15.389,167.835
Pinatubo,Confirmed Eruption,0,Philippines,Philippines and SE Asia,14,1486,2021,15.13,120.35
Iliwerung,Confirmed Eruption,0,Indonesia,Indonesia,2,583,2021,-8.532,123.573
Taal,Confirmed Eruption,0,Philippines,Philippines and SE Asia,1,311,2021,14.002,120.993
Turrialba,Confirmed Eruption,0,Costa Rica,México and Central America,14,3340,2021,10.025,-83.767
Asosan,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",1,1592,2021,32.884,131.104
Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,16,-20,2021,-8.991,157.979
Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,13,1222,2021,19.421,-155.287
La Palma,Confirmed Eruption,0,Spain,Atlantic Ocean,14,2426,2021,28.57,-17.83
Nishinoshima,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",1,25,2021,27.247,140.874
Fukutoku-Oka-no-Ba,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",16,-29,2021,24.285,141.481
Chirinkotan,Confirmed Eruption,0,Russia,Kuril Islands,14,724,2021,48.98,153.48
Pavlof,Confirmed Eruption,0,United States,Alaska,14,2493,2021,55.417,-161.894
Pagan,Confirmed Eruption,0,United States,"Japan, Taiwan, Marianas",14,570,2021,18.13,145.8
Sirung,Confirmed Eruption,0,Indonesia,Indonesia,2,862,2021,-8.508,124.13
Ulawun,Confirmed Eruption,0,Papua New Guinea,Melanesia and Australia,14,2334,2021,-5.05,151.33
Copahue,Confirmed Eruption,0,Chile-Argentina,South America,14,2953,2021,-37.856,-71.183
Taal,Confirmed Eruption,0,Philippines,Philippines and SE Asia,1,311,2021,14.002,120.993
Rincon de la Vieja,Confirmed Eruption,0,Costa Rica,México and Central America,2,1916,2021,10.83,-85.324
Turrialba,Confirmed Eruption,0,Costa Rica,México and Central America,14,3340,2021,10.025,-83.767
Krakatau,Confirmed Eruption,0,Indonesia,Indonesia,1,155,2021,-6.102,105.423
Great Sitkin,Confirmed Eruption,0,United States,Alaska,14,1740,2021,52.076,-176.13
