,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
1,Ambae,Confirmed Eruption,0,Vanuatu,Melanesia and Australia,Shield,15.389°S,167.835°E,1496,2021
2,Pinatubo,Confirmed Eruption,0,Philippines,Philippines and SE Asia,Stratovolcano,15.13°N,120.35°E,1486,2021
3,Iliwerung,Confirmed Eruption,0,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583,2021
4,Taal,Confirmed Eruption,0,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311,2021
5,Turrialba,Confirmed Eruption,0,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2021
6,Asosan,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,2021
7,Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,2021
8,Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222,2021
9,La Palma,Confirmed Eruption,0,Spain,Atlantic Ocean,Stratovolcano,28.57°N,17.83°W,2426,2021
10,Nishinoshima,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25,2021
11,Fukutoku-Oka-no-Ba,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29,2021
12,Chirinkotan,Confirmed Eruption,0,Russia,Kuril Islands,Stratovolcano,48.98°N,153.48°E,724,2021
13,Pavlof,Confirmed Eruption,0,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493,2021
14,Pagan,Confirmed Eruption,0,United States,"Japan, Taiwan, Marianas",Stratovolcano,18.13°N,145.8°E,570,2021
15,Sirung,Confirmed Eruption,0,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862,2021
16,Ulawun,Confirmed Eruption,0,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2021
17,Copahue,Confirmed Eruption,0,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2021
18,Taal,Confirmed Eruption,0,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311,2021
19,Rincon de la Vieja,Confirmed Eruption,0,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916,2021
20,Turrialba,Confirmed Eruption,0,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2021
21,Krakatau,Confirmed Eruption,0,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,2021
22,Great Sitkin,Confirmed Eruption,0,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,2021
23,Dieng Volcanic Complex,Confirmed Eruption,0,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,2021
24,Telica,Confirmed Eruption,0,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2021
25,Tengger Caldera,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,2021
26,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2021
27,Krysuvik-Trolladyngja,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Crater rows,63.917°N,22.067°W,360,2021
28,Veniaminof,Confirmed Eruption,0,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507,2021
29,Semisopochnoi,Confirmed Eruption,0,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221,2021
30,Raung,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260,2021
31,Merapi,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,2020
32,Soufriere St. Vincent,Confirmed Eruption,4,Saint Vincent and the Grenadines,West Indies,Stratovolcano,13.33°N,61.18°W,1220,2020
33,San Cristobal,Confirmed Eruption,3,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2020
34,Tengger Caldera,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,2020
35,Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222,2020
36,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2020
37,Lewotolok,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.274°S,123.508°E,1431,2020
38,Kikai,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704,2020
39,Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,2020
40,Kuchinoerabujima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,2020
41,Sinabung,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,3.17°N,98.392°E,2460,2020
42,Telica,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2020
43,Raung,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260,2020
44,Turrialba,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2020
45,Copahue,Confirmed Eruption,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2020
46,Cleveland,Confirmed Eruption,3,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730,2020
47,Kikai,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704,2020
48,Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,2020
49,Soputan,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785,2020
50,Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,2020
